ancient tome
crystal orb
magic mirror
enchanted sword
cursed ring
golden chalice
silver amulet
bronze statue
iron throne
obsidian dagger
jade pendant
ruby crown
sapphire scepter
emerald eye
diamond heart
pearl necklace
amber fossil
coral throne
ivory tower
ebony box
clockwork heart
mechanical bird
steam engine
brass telescope
copper still
silver compass
gold pocket watch
platinum key
crystal ball
glass slipper
porcelain doll
wooden puppet
paper lantern
silk fan
velvet curtain
leather journal
parchment scroll
wax seal
ink bottle
quill pen
candle holder
oil lamp
torch sconce
fireplace mantle
grandfather clock
music box
jewelry box
treasure chest
coffin
sarcophagus
altar stone
ritual dagger
sacrificial bowl
incense burner
prayer beads
holy relic
sacred text
forbidden book
spell scroll
potion bottle
alchemist flask
herbalist mortar
apothecary jar
medicine cabinet
surgical tools
torture device
execution blade
prison shackle
slave collar
crown jewels
royal regalia
battle standard
war drum
signal horn
messenger pigeon
carrier raven
homing beacon
distress flare
lighthouse lens
ship wheel
anchor chain
fishing net
hunting trap
animal cage
bird cage
terrarium
aquarium
specimen jar
fossil display
artifact case
museum pedestal
gallery frame
stage curtain
theater mask
carnival prize
circus tent
carousel horse
ferris wheel car
roller coaster seat
haunted house prop
graveyard headstone
mausoleum door
crypt entrance
dungeon gate
castle portcullis
drawbridge chain
moat bridge
tower window
balcony railing
rooftop antenna
satellite dish
radio tower
power line
transformer box
fuse panel
circuit breaker
server rack
computer terminal
holographic display
cryogenic pod
escape pod
airlock door
spacecraft hull
asteroid fragment
alien artifact
